text,intent
how much do i have to at least pay on my medical bills,143
where you from the usa,77
let me know what tomorrow's date is,95
make a reminder to pay my cable bill today,53
why isn't it letting me into my bank account,2
how can i cash in the rewards i have earned on my amex,6
you can call me sarah,144
put a hold on my bank account,20
can my credit limit be increased to $1000,109
i'm needing dinner suggestions for mexican food,46
what is the minimum i can pay on my gas bill,143
can you please dim the lights,10
you call me what,11
can you change your name to fred,55
i appreciate that answer,124
reset the factory settings if possible,88
when do classes start,42
remind me to buy bread next time i go shopping,125
how would you say can i borrow five dollars in portuguese,61
next payday please,79
thank you very much,124
what's your opinion on the meaning of life,22
talk faster,119
does have good reviews have great reviews,0
what interest rate am i getting,7
can you please help me move $100 from my checking to saving account,133
could you speak faster,119
what is my points total for my mastercard,50
what do you want me to refer to you as,75
are there any messages,42
i can't seem to find my phone,81
when do my tires need to be changed again,47
"i enjoyed talking to you, bye",114
i'm out of razors so will you order me some more,16
my mpg is how much,142
do i need to get any shots before i travel to morocco,52
delete that event from calendar,105
have my tires got adequate amounts of air in them,98
i would like assistance moving money from one account to another,133
how long will it take me to get to red robin in glendale,78
always nice to talk to you,114
what exactly is the meaning of life,22
how soon until the next holiday,140
what time is my flight scheduled to leave,80
no that isn't the case,30
i want to report fraudulent activity on my visa card,70
give me a list of the top three landscaping companies nearby,42
are the plugs different in barcelona,120
subtract 100 from 12,138
put bread on my shopping list,125
i want to know what i have to do,48
please give me the time in tanzania at this moment,4
you can cancel the task,147
how busy will chili's be if i go at 6 pm,102
text my boss for me and tell them i will be a little bit late,26
what's the meaning of this life,22
"which insurance plan am i enrolled in, please",74
what's 47 times 83,138
are my tires fully inflated,98
when did the oil get changed,37
is my at&t bill do soon,56
when is the next time i get paid,79
are you here to serve me,57
"nice, excellent!",124
report to the company that i damaged my card,87
can you let me listen to elvis,106
make a reservation for 2 at red lobster at 8pm,23
"a pleasure as always to speak with you, bye",114
my card is messed up from carding my door,87
on the lounge lights turn,10
how many vacation hours do i have,126
i would appreciate it if you put a stop on my bank account,20
"are there any travel alerts i should know about for buenos aires, argentina",128
please turn the volume to 4,150
what transactions do i have on groceries from yesterday,68
can you add 5 and 89,138
tell me how to use credit card points,6
do you know where i can find my suntrust routing number,45
what is the weather for tomorrow in georgia,5
i want to listen to the next song on this playlist instead,118
what will my federal tax return be,94
what ingredients go in pizza,112
can you find me a recipe for quiche,104
go ahead and disconnect from my phone,130
set an alarm for 8 tomorrow,83
cancel that,147
please change credit,109
please make a report that my card is split,87
give me my credit limit,41
make an appointment to check my tires,131
"cancel my reservation for dinner, please",67
connect me to bob,25
can i use something else if i don't have eggs,134
does macedonia have any travel alerts i should be aware of,128
can you make 1234 the pin for my savings account,89
i want you to change to the male voice,51
will pepper work instead of salt,134
what's the process of making a burrito,104
tell me how to request vacation,97
can i use regular olive oil instead of virgin,134
should i get an internation visa to go to switzerland,59
can you auto-pilot the car,42
i want to hear what is on my reminders list,76
please increase volume,150
when is my credit due to expire,44
can you put mopping on my to do list,65
my credit card application status,103
can you order some more eggs for me since i just ran out,16
get me my slow sounds,106
is there a time when i should get my tires changed,47
"please find a columbus, ohio hotel with good reviews",116
what's my visa cards balance for rewards,50
show me a well reviewed hotel in evans,116
please look up my credit score,69
remind me to take the chicken out in a hour,53
can i swap sugar for salt,134
can i swap cayenne pepper for black pepper,134
what is popular in fashion right now,42
will you tell me a joke,36
which date is my next paycheck due,79
tack on a gallon of milk to the grocery list,125
can you let michael and julie know my location,58
reset to original settings,88
i am going to need you to say that again,13
will you tell me my interest rate,7
would vaccinations be needed if i go here,52
how much is it to get more data on my phone plan,42
i think i wanna add heart shaped box by nirvana to my playlist,141
how is my order doing right now,84
i want to make sure my reservation for 5 at mcdonalds is still set,85
does travelling to st petersburg require a travel visa,59
whoa whoa please slow down,119
i need to track a package,84
i want a new pin for my savings account,89
i don't know how to spell malfeasance,73
can i increase the credit limit for my american express card,109
what is the insurance plan that i'm signed up for,74
tell me what to make for dinner,46
how many calories are in a sandwich,135
do i need an international visa to enter canada,59
what's the proper way of spelling seance,73
terminate current process,147
can i put in a pto request for december 25th to january 1st,97
can i substitute ketchup for mustard,134
are there any new travel warnings for the us,128
set a reminder to go dress shopping,53
i need help paying my auto insurance bill,111
does american express charge transaction fees for iceland,137
what is the animal for this chinese new year,42
"google ""odell beckham free agency""",42
what transactions have i made on liquor in the past month,68
skip and play next song,118
denver's timezone is what,66
"""which is the best way to improve the credit score",28
change to the females voice please,51
how much longer until my credit card expires,44
how long until i should have my tires replaced,47
can i set up mobile deposits,42
"talk to you soon, bye!",114
when should i expect my visa to expire,44
i really need to find the interest rate for my checking account,7
good bye,114
the meaning of life,22
can you locate the television remote,42
"what's the proper way to spell ""helicopter",73
please find my phone,81
do you know if benihana does reservations,9
what time does my flight board,80
how do you make sure a bridge doesn't fall down,42
tell me when i received my last paycheck,79
show me the transaction on the food,68
can you please speed up your speech,119
why did my card not get accepted,49
"address me as ""bailey",144
please find my routing number for my citizens' bank account,45
get me an uber for 3 people uptown,39
"i need to get a flight out of my local airport to england on monday, the 23rd for under a grand",63
are there any meeting rooms free from 10:00 am until 10:30 am,18
i wanna change your name to audrey,55
should i get any shots before i go to kenya,52
yeah,107
tell me when my next day off is,140
how can i set up a direct deposit with my checking account,108
how many times did i take a day off,148
where can i find my w2 as i need it for tax reasons,122
who do you say you work for,57
what sorts of activities should i get up to while i am in dublin,149
can i substitute oregano for basil,134
can you tell me what my tire pressure is,98
book me a car rental in nashville,40
how do you spell out wednesday,73
"what are you’re hobbies, ai",15
how do i make a taco that's worth eating,104
what date is the next payday,79
talk to you later,114
will you please put remember to drop off at the dry cleaner's to my current to do list,65
what are the possible reasons behind frozen bank account,2
whats the total of taxes from my income,94
pay $175 on my visa,111
in what state were you born,77
i want to switch to a new insurance plan,64
please check and report on my tire pressure,98
pay the cable bill with my visa card,111
how long is winter,42
it seems that my account is blocked and i'm not sure why,2
i'd like to roll over my 401k,100
what is my interest rate payment,7
does this car get good mpg on the highway,142
i apprecaite the help from you,124
i would like to transfer $5 from savings to checking,133
tell me the next holiday,140
what interest rate is bofi giving me on my cd,7
you could say my name is nick,144
so far how many days have i taken off,148
hop to the next one,118
speak faster,119
one more time for me please,13
are there any required shots in indonesia,52
how can i apply for a visa card,91
when will i get to my destination,80
show me where i am on a map,136
i cannot recall the pin for my savings account,89
tell me a blonde joke,36
do i have any items on my calendar for march 21st,60
when was albert einstein born,42
tell me something funny about rats,36
what are your interests,15
i need any relevant travel alerts for australia,128
how many of my vacation days have i depleted,148
what's the calorie content of cheetos,135
has my application for discover card gone through yet,103
tell me what time my flight ought to be landing,80
is my order here,84
give me a list of things to do in orlando,149
what is the best time to go to get a burger without a line,102
how much psi is in my car tires,98
tell me tomorrow's date,95
what points have i earned on my visa,50
is the traffic bad on the way to work,24
how do i report that i lost the card,12
are we allowed to wash our cars during the drought,42
where can i get the employment form i need to do my taxes,122
have i been spending a lot on groceries lately,71
how miles does it take to get to red lobster from my current location,78
start a timer please,32
stop using the whisper mode,14
"ai, routing number for my wells fargo checking",45
"how do i share where i am, with another person",58
please help me with instructions on making chicken curry,104
do a car payment from my savings account,111
how is my credit looking,69
i am in need of my w2 for tax reasons; provide me where to get it,122
please put the meeting with carla on my to do list,65
"this was a nice chat, goodbye",114
beginning playing the next tune,118
please make my account a frozen one,20
is there a holiday next week,140
what day did i last have a technician check out my vehicle,37
do you know the timezone for phoenix,66
tell me some something trivia,129
how long does it take a new card to arrive in the mail to me,90
please cancel my dinner reservation for tuesday,67
i want to report my discover card as lost,12
that is affirmative,107
do you know if my vacation was approved yet or not,101
do i need a visa to go to colombia,59
when is my next paycheck,79
i need to report that my card is lost,12
delete ice cream from my shopping list,125
what is on my schedule for tomorrow,60
i want to shop for new insurance plans,64
where did your mom give birth,77
have you heard how the enchiladas are at jose's taco shop,0
i want you to your volume,150
will you get a coin and flip it,33
is the dollar strong against the yen today,38
am i supposed to buy milk,43
are your real or artificial,117
what sort of fuel does this car take,8
what's the best price on super smash bros ultimate right now,42
i need to know how much money i have in all of my bank accounts,35
tell me what i have on my todo list,48
are there any new job postings in my area in the last hour for jobs on craigslist,42
nay,30
are there any travel warnings for london,128
do i need a vaccination to go to china,52
give me information about my card's apr,132
is it safe to travel to mexico,128
i wish to request a change in insurance plans,64
what is the form i need to report my earnings,122
what type of fuel is used for this vehicle,8
what's the definition of unencumbered,139
how do i do an oil change and what type do i use,3
i am in the mood to listen to mack the knife,106
send my money between accounts,133
i need you to repeat that,13
what timezone do ho chi minh use,66
what's the point of this dumpster fire known as life,22
set a brand new timer for eight seconds,32
do you know the expiration date that is on my visa card,44
change the volume to 4 now please,150
how much have i spent lately on eating out,71
what words would i use to tell someone i am lost if i were japanese,61
i'd say no,30
how does the etheric body operate,42
how do i find my w-2 form,122
whats the definition of poor,139
can you tell me tomorrow's date,95
when can i expect my paycheck,79
"will you help me rent a car from march 2 to 6th in dallas i want a bmw suv, if possible",40
what does deceive mean,139
how do you say thank you in spanish,61
how many cs are in acquiescence,73
i need help paying my hoa bill,111
can i substitute lemon juice for lime juice,134
what is 4 + 7,138
do i still have vacation days,126
can you tell me what kind of outlet plug there is over there,120
i want to use the female voice now,51
what is the minimum payment for my credit card bill,143
i would like thai food,46
can you help me book a car rental in paris,40
do i have any meetings coming up today,19
id like a rental car in denver colorado between january 1st and january 3rd and id like a ford if possible,40
tell me some fun tourist attractions in london,149
how to keep credit score high,28
how do i convert tablespoons to cups,31
what steps do i need to take to take a bus to detroit,72
can you tell me if my last amazon order is coming today,84
what do you do with your free time,15
include happy on my rb playlist,141
what is the correct way to say 'i am a visitor' in french,61
"find all the ""a""s in happiness",73
"i would like to confirm my 7:30 pm reservation at morton's steakhouse, under michael james",85
what's a good use of my time in toronto,149
show me my transactions on clothes at macys,68
would you kindly remove five mile run from my list of things to do,65
is k-12 education required outside of the united states,42
does the country have a travel alert,128
are you a human being or a robot,117
i want to know when is the next holiday,140
i need to set up a new pin number for my college fund account,89
what have i spent things on,68
can you flip a coin i pick heads,33
call someone for me,25
tell me what the date is tomorrow,95
can you find me a place to stay in sacramento near the capitol on july 3-5,116
tell me something interesting about sperm whales,129
i disagree that is false,30
create an alarm for 6am,83
who do i contact to order more checks for my td bank account,127
how long should i fry an egg for,86
please find out the current status of my credit card application,103
"i made a reservation for chris at tony's, please cancel it",67
your answer is appreciated,124
what's delta's carry on policy,62
roll a 9 sided dice,92
i want your language changed to chinese,29
silence,147
put buy dog food on my to do list,65
when can i expect my order,84
that is actually false,30
cancel my reservation for bob at red robin,67
i must get a hotel in phoenix near chase field from january 4th to the 8th,116
how many weeks of vacation do i have,126
did the application for my visa card finish,103
make sure i can rent one car out of chicago from january 2 to january 5,40
can you tell bob to get his dog via text,26
what is the next song on this playlist,118
how often do you have to change your oil,123
what transactions did i make yesterday at the flea market,68
what is the interest rate at pnc,7
tell me my health plan,74
what movie is it that says today is a good day to die,42
schedule an uber for 3 to go to the airport,39
are shots needed for uk travel,52
how many ounces is 2 and half cups,31
what do you think i'm called,11
could you say that again,13
did i remember to add milk to my shopping list,43
sorry i missed that,13
how can i cash in rewards on my discover card,6
can you help me figure out how to utilize my credit card points,6
can you tell me the expiration date for my mastercard,44
please put dusting on my list of things to do,65
what date did i have my oil changed last,37
what kind of outlets does havana have,120
the programmer who made you is who,96
i need to hear how many points i've obtained on my capital one visa,50
what is the aid i get from these health benefits,74
that's a definite yes,107
can you tell me how to change my oil,3
what date is the next day i get paid,79
how many lira can i get for 250 dollars,38
what amount of fuel do i have left,110
i want your name to be john,55
"right now, i need to know the meaning of life",22
how many players are on the chicago bulls,42
how much did i spend at restaurants last week,71
when were you created,99
i want to find out if this will hurt my credit,28
can you explain my benefits,74
"that'll work, good job!",124
are you one of my employees,57
how much country of canada money would i get for $100,38
"oh, thanks",124
what day do i get paid,79
that's not right,30
when was my lawn last mowed,42
how does this cars mpg do on the highway,142
tell me the highest amount i can spend on my discover card,41
abort please,147
please give me the time,4
turn up your volume,150
will i make it to my current destination on this fuel tank,110
which kinds of info are you familiar with,115
would it be ok if i have pepper and not salt,134
is it possible to take an uber to burger king,39
what is the total amount i am going to have to pay in bills this month,27
how many mpg does my car get,142
give me location for tourist destination in bangkok,149
can i get a new pet insurance plan,64
has my vacation been ok'd,101
when did i last get my car checked,37
what kind of items are on my shopping list,43
please tell me all items on my todo list,48
what's the title of this track,21
are the chili's reviews any good,0
can applebees take any reservations,9
i will be traveling to lima alert my bank,146
what's the typical time to eat at red lobster,102
turn on the whisper voice,14
what should i do if i saw a cockroach in my house,42
what's your hometown,77
is it going to rain tonight,5
the answer is yes,107
i was at sears trying to buy clothes and my card got declined,49
send mike my exact location,58
"cancel my last request, i know the answer",147
help me figure out my state taxes,94
what is the total of all my bills combined,27
how many a's can you find in the word happiness,73
send a text message to alice,26
order some new checks to replace the ones i ran out of,127
make a transfer between accounts,133
flip a normal coin,33
what kind of weather can i expect now,5
create an alarm,83
i want a recipe for roasted veggies,104
whats the name of the person who made you,96
i need to know what my gps coordinates are,136
how much is 10 us dollars in canadian dollars,38
i want to know whether or not you are a pet owner,34
how were you made,96
let's change the language for you,29
please make a reminder,53
tell me your age please,99
inform me how many pounds are in 10 kilos,31
change voice to female,51
could you tell me the routing number for my chase checking account,45
start whisper mode,14
"hi there, how are things",82
please turn off your wifi from my phone,130
is it likely my credit card application has processed yet,103
how many pints are in 22 gallons,31
can you name the type of pets you have,34
i need help paying my rent bill,111
call aj now,25
"do you know how to spell, bourgeois",73
"i enrolled in an insurance plan, what one was it",74
make your preferred language english,29
use martins name to reserve a table at tropicana for 5 people at 8pm,23
send ten dollars from bank of america to capital one,133
can i get a car rental in boise from april 11th to april 13th,40
i gotta change my pin number for my debit account,89
i need you to set alarm for me,83
will i be able to visit peru without a travel visa,59
block my monkey market right now,20
can i use lettuce instead of rice,134
"it seems to be that i have had pizza in the fridge since monday, so is it safe to eat",54
pay my cable bill directly from my checking account,111
turn your speakers up,150
what's the least amount i can pay on this bill,143
i need to find someone to look at my check engine light,131
do i spend too much on beer,71
find a recipe for hamburgers,104
can i drink milk i've kept in the fridge since wednesday,54
do you know how long of a wait it will be,102
how do germans say goodnight,61
what is the next football game,42
tell me what's in tacos,112
can you give me a points update on my rewards plus card,50
what is the sum of 8 + 3,138
what do i have scheduled on march 2nd on my calendar,60
do you know how do i schedule a meeting,18
call someone,25
"open up a reminder, pay taxes on monday",53
when is the next time i need to get an oil change,123
is a plug converter required for haiti,120
would i need to buy a plug converter when in rome,120
i want you to roll a 5 sided dice for me,92
show me trivia about cats,129
put seatbelts on,42
could you find my interest rate for me,7
include asparagus on the list,125
does tofu last long in the freezer before it goes bad,54
what is my salary right now,93
what would you like to be called,75
"help, my account is blocked",2
could you please reserve a table for 6 at lucille's under the name tom at 5pm,23
check to confirm my reservation for february 22 at noon,85
do i have any meetings today between 9:20 and 10:30,19
how many minutes am i from texaco,78
remind me of the date of my last paycheck,79
how is my calendar looking for may 6th,60
would you please order me more checkbooks for my b of t account,127
should i get any shots before i go to south africa,52
stop any future processing on my savings account,20
are you actually a bot,117
i believe there's fraud on my card,70
what's the most difficult yoga pose to perform,42
i need to know how much gas i got,110
"no, that is a falsehood",30
how can i order more checks since i do not have any more,127
set this to my factory settings,88
help me secure a car rental out of reagan international airport from march 22-30,40
can you get me a recipe for mashed potatoes,104
tell me some things to see in tampa,149
tell me today's fun fact,129
fix my language to spanish,29
can you tell me my location,136
what timezone does bangor have,66
i want today's fun fact please,129
my vacation to spain is coming up and i need my bank to know,146
why is there a stop on my deposit account,2
i must know who programmed you,96
say what you think my name is,11
how long does it take to get a divorce finalized,42
let me know what the exchange rate between dollars and pesos is,38
how much weight should i lift to get buff,42
when was i paid last,79
i wanna schedule some car maintenance,131
about how much will my federal taxes be,94
do i need new tires,47
i want you to use whisper voice now,14
return to factory default,88
i didn't catch that say it again,13
i no longer want this event in my calendar,105
how would i say thank you if i were russian,61
i need an alarm set please,83
i'm having trouble remembering the pin number to my card,89
does pizzeria delfina in san francisco take reservations,9
what's your home country,77
find out what the word abrogate means for me,139
when is my oil due to be changed,123
how do i share my location with kate and mike,58
i need to book a car rental in boston,40
can i update my insurance policy,64
what do tourists do for fun in seattle,149
can you add apples to my shopping list if they aren't already on there,125
provide the name i should use to refer to you,75
would i have to wait long if i want to eat at chili's,102
how busy will panera be at noon,102
what date is it,95
are there activities that you enjoy doing in your free time,15
where can i find my w-2 form,122
when can i expect meal of salmon to be finished,86
"book flights for me from nyc to la on march 1, returning on march 5",63
can you please start my car,10
is there a special place where i can schedule to check my tires out,131
is it possible to make an order for more checkbooks for my chase bank account,127
my card was destroyed when my house burned down and i need a replacement,87
what insurance benefits do i have,74
did i put elbow noodles on the shopping list,43
"i just finished taking out my recycling, so cross that off my to do list",65
what are the procedures for changing my oil,3
how many ml's are in a gallon,31
can you give me a spelling for antipathy,73
how do i order some more checks for my navy federal account,127
explain to me how to cash in rewards for my mastercard,6
what is the name you associate with me,11
i want some suggestions for tourist activities in dublin,149
i must know what the traffic is like on the way to phoenix,24
tell me about the oscars,42
pay my insurance bill,111
how many calories should i plan to be in a donut,135
when should i remove my snow tires,42
switch to british male accent,51
is there anything available in new york city from april 2 through april 8,116
clear my calendar for tomorrow,105
pets you have what kind,34
i need to switch back to my factory settings,88
how long can i keep pork in the freezer for before it gets freezer burnt,54
what is the amount of pto have i use,148
what things are on my todo list,48
get me an uber to chilis,39
when will my next vacation day be,140
help me get up at eight thirty in the morning tomorrow,83
how do i convert inches and centimeters,31
can some more checkbooks get mailed to me,127
what do i need to buy,43
i'm having trouble locating my w-2,122
what kind of gas mileage do i get,142
please find my balance on my chase mastercard,35
i need to send my location to my friend steve,58
find if there are any travel alerts for canada,128
will i be able to increase my credit limit to $1000,109
can you see if i can get a higher limit on my discovery card,109
i got to know how long until the next day off,140
i need a hotel in phoenix near chase field from january 4th to the 8th,116
how is the tire pressure,98
which days did i take vacation,148
how much do i pay in income tax,94
how many kilowatts have i used this month,42
book an uber to school,39
can you repeat what you said,13
what was the date of my last car appointment,37
what's the weather,5
please add 456 and 781 for me,138
what time is a star is born showing,42
can you check how many steps i have walked in the last week from my phone app,42
i no longer need the reservation for 20 at ihop,67
please call me johnny,144
"yes, that is right",107
buhbye,114
what is the highest quality carpet available,42
i need to know this car's mpg,142
carla doesn't want her olive garden reservation anymore,67
which came first; greek mythology or roman mythology,42
i'm thankful,124
coin flip,33
where is the w-2 form located,122
switch my insurance plan to a new one,64
what's the routing number for my bank of the west account,45
what was my recent transaction,68
how long will my eggs be good for,54
i need to add the chore of vacuuming to my task list,65
who are they that you work for,57
what new reality shows are there for 2019,42
what is the status of my vacation request,101
erase meeting with jeff from my calendar,105
finish the final touches on my newest robotic creation,42
check meeting rooms available between one and three pm,18
create several photos of me with different hair styles,42
would you tell me my credit score,69
i misplaced my visa and need it marked as lost,12
"where are my bags, not here at the airport",113
where do i go to find the interest rate on my savings account,7
what kind of electrical plugs do they uze in z,120
update on vacation request,101
how can i raise my credit score,28
how much of my pto is left,148
compare prices for flights from recife to miami leaving may 20 returning june 5,63
please set the temperature to 80,10
how do i locate when my gas bill is do,56
i gotta have a 10 minute timer,32
can you check if my mastercard application has been reviewed yet,103
who is the start of the movie almost famous,42
i must learn my routing number,45
"when you were a child, where did you live",77
i don't need my reservation for 5 at the loft please cancel it,67
can you tell me about my credit rating,69
how many days till we have off again,140
what is the total amount due on my electricity bill,27
i am needing to know what some of your hobbies are,15
start talking in spanish,29
how can i find my routing number for el dorado,45
who conjured you,96
i would like to hear what ideas you have about making dinner tonight,46
i want you to repord my card as lost,12
will you roll a 5 sided dice,92
i need help spelling superficial,73
please confirm that i have a reservation for march 1st at 7,85
could you book me an appointment for an oil change,131
tell me who programmed you,96
x on the shopping list please,125
when is the egg expired,54
can you reset your factory settings,88
what is the best thing for me to do to improve my credit score quickly,28
"suggest a meal from laos to me, please",46
"in 2 days, what date will it be",95
can i get a higher limit on my visa card,109
what company manufactured you,96
could you reset your factory settings please,88
what is the most popular airline,42
what do i have on my calendar for monday the 1st of march,60
who is your designer,96
when am i due for my next paycheck,79
will you let mary know my location,58
is there any meaning to being alive,22
please use a male voice when speaking,51
tell me about my american express application; did it go through,103
is it alright to switch applesauce for oil,134
where are we located,136
could you tell me how much money i spent last week,71
i need everything ordered on my shopping list,16
can you give me a thai meal suggestion,46
play music by the beatles,106
i need an alarm to wake me up at 8 tomorrow morning,83
what will the weather be this weekend,5
plase hold my account for now,20
that's a negative,30
what is my credit limit looking like,41
i need to know my present gps coordinates,136
tell me when i have to pay my bill,56
can you tell me the next holiday,140
let coach know where i am,58
do you have instructions on jump starting a chevy,17
let me know where i'm located,136
can i get a reservation at melting pot tomorrow,9
tell me how to schedule a meeting,18
can you use the whisper voice,14
how long has it been since my car was last looked at,37
could you please cancel my reservation for 5 at red robin,67
i think bradley is a better name for you,55
what is the process for reporting my card as lost,12
tell me the weather report for tallahassee,5
slow your speech,119
i cracked my rewards card can i get a different one,87
how many crows are in 10 murders,31
how is that credit limit,41
can you name the song on the speakers,21
are there transaction fees charged to my discover card in japan,137
turn on the living room lights,10
does applebees have alright reviews,0
i got to transfer ten dollars from my bank of america account to my capital one account,133
what kind of ingredients go into the chicken a la king,112
"i would like to increase my credit limit, can i do so by 500 dollars",109
what are my shopping list's content,43
what is the next song to be played,118
i didn't hear what you said,13
what is the total amount of tax deductions from my income,94
tell what is showing on my calendar for the 17th of march,60
that is so false,30
what would the interest rate at wells fargo be,7
do you know how i get new insurance,64
which pets do you own now,34
check on my to-do list items,48
how can i know when my cable bill is due,56
did my order get here yet,84
how do i say you're welcome in chinese,61
i gotta know the the carry-on restrictions for american airlines,62
locate my phone for me,81
how can i find the current interest rate for my account ending in 9012,7
i want to know what health plan i'm currently on,74
what's a good trivia fact about china,129
tell me what type of gas this car uses,8
is anything on my calendar for june 22nd,60
can you tell me the address where i am right now,136
slow your roll,119
who do you work for,57
what's the mileage to get the the taj mahal in atlantic city,78
i'll need a rental car from 3/3 - 3/14 in vegas,40
signing off,114
who should i talk to about the fact that i inadvertently split my card almost in half,87
help me find a new position as a programmer,42
how many points have i earned with my paypal credit card so far,50
"are there any interesting things to do in atlanta, georgia",149
tell me something funny about dogs,36
can my car get to dallas with the gas currently in my tank,110
use a different accent,51
go ahead and cancel the reservation i made for 6:00 pm at parc,67
find the nutrition info for whole milk for me,1
what is an amazing trivia fact relating to 3d printing,129
what kind of things can i ask the ai,115
how to direct deposit my paycheck,108
could you walk me through transfering my 401k,100
what's the due date for the credit card,56
"incorrect, it is certainly a false statement",30
how much do i need to pay in tax,94
about how long should you cook a 10 pound turkey,86
change to the woman voice,51
can you tell me what reminders i've set,76
which nations were on each side of the conflict in world war ii,42
i need to know how to change my insurance,64
"pardon, i didn't hear you",13
change the language to english,29
my card got dropped in the shredded and i need it replaced,87
schedule a pto request for me on march 1-2,97
i want to learn how to change the oil in my car,3
can i see all the international transaction fees on my amex,137
how long do you cook a hamburger for,86
what do people think of the new burger at mcdonalds,0
lock every door on the property,10
how many more vacation days do i have for the year,126
what is our purpose here on earth,22
walk me through applying for a visa card,91
what's the current prevailing interest rate for mortgages in my area,42
i need to know my credit's limit,41
i want new language,29
"utilizing an automobile known as a bus, how long will it take to get to detroit",78
how's my credit score,69
what should i do if i'm waiting at the airport and my luggage is not here,113
was there any progress on my vacation request,101
"is there any traffic on the road i take home from work right now, rt 40",24
can you ping priest chris with a text and send the following confession,26
can i use sour cream instead of milk,134
what would cause me to be locked out of my bank account,2
what interest rate am i getting from citigroup,7
i need help investigating a suspicious transaction,70
where do i find the routing number for navy federal,45
"that's not right, so no",30
where do you want to eat tonight,145
can you give me a reading of my car's tire pressure please,98
do i have meetings from 1 to 4 today,19
"hey, flip me a coin i call tails",33
tell me a fun fact about the moon landing,129
"i have potatoes in the cupboard from wednesday, are they fine",54
"can you give me the travel alerts for jalisco, mexico",128
what gas should i fill it up with,8
tell me what the weather is looking like,5
negate last command,147
what day is the cable bill owed on,56
what is tuesday like on my calendar,60
you're how old,99
is there a starbucks close to home,72
where can i go to find out my credit limit,41
change your language setting to spanish,29
is it ok to use ketchup instead of mustard,134
is our next day off soon,140
what company is responsible for your design,96
change the native language,29
i'd like to take a vacation day from 2/24 to 2/25,97
tell me how busy the restaurant will be between 5 and 7pm,102
alert my bank and let them know i'm travelling to japan,146
when's the next time i have to pay the insurance,56
how much money will i get or owe on my federal tax return,94
what's it like to have parents who actually love you,42
do i have meetings scheduled today,19
i want to go back to the factory settings,88
text mom saying happy birthday,26
tell me what type of fuel my car uses,8
show shopping list,43
show me the minimum payment for my boat bill,143
can you get me any recommendations for the place i'm traveling to,149
where is the closest gas station,78
how much do i have in savings,35
remove jake's birthday on march 22,105
set a new reminder for tomorrow at 4am,53
what do i have going on between 9 and 10,19
who was the inventor of ai,96
transfer 50 dollars from my checking account to my money market account,133
my debit card was rejected at ella's and i want to know why,49
what is my state bank of india card credit limit,41
my credit rating is what,69
"my card was stolen, how do i report this",12
what is your boss's name,57
what did the mesopotamians call the creator of the universe,42
can you translate where's the bar into irish for me,61
is mcdonalds a good place to eat,0
i need to make a vacation request; how,97
when did i last have a mechanic check out my car,37
how far am i from the beach right now,78
can you help me with my pin number,89
what are the pets that you take care of,34
can you tell me how much money i have i my bank accounts,35
please revert to the original settings,88
i'd like to go to malaysia so do i need a visa,59
what is the amount of my state taxes,94
how many prime numbers are there under 100,42
can you tell me what my may 1st will be like according to my calendar,60
send me videos of how to do a smoky eye,42
what name do you like to go by,75
where should i report a damaged card,87
what is the current credit limit i have on my wells fargo mastercard,41
what is today's date,95
where's your place of birth,99
does my shopping list have tomato written on it,43
what movie is the line today is our independence day from,42
what's the distance between home and the closest starbucks,72
what's the funniest thing you've got,36
tell me what the date is for tomorrow,95
i am needing to know how low the air in my tires are,98
show me the most popular nonfiction book currently on the market,42
it was lovely to speak with you,114
what's my checking look like,35
please read me the last text message i received,42
"could you submit a pto request for me from dates mar 3 to 9, please",97
how do you jump a car with a dead battery,17
can i just use oil instead of vinegar,134
someone stole my mastercade,12
was there a problem with my card yesterday,49
i need to know today's date,95
you work for what company or person exactly,57
what are some trivia questions about lebron james,129
"no, that's wrong",30
send 50 dollars between bank of america and chase accounts,133
tell me the status of my credit card application,103
how many days later is it okay to eat curry that was in the fridge,54
where are w-2 forms given,122
i need to be reminded to pray,53
explain my health benefits,74
do you take your orders from me,57
can you book a car rental today to new york city to philadelphia,40
"i am needing you to tell me how to get to dallas, texas, by bus",72
how good are the ratings for pizza hut,0
did i mark the mechanic's appointment on my calendar,60
how to get the right medicine,42
do i need to get any shots to travel to mexico,52
remind me to bring a jacket in tomorrow,53
it takes how long to get to the beach in santa barbara,78
i'm so glad you helped me!,124
"hey, stop talking like you're a stretch taped",119
can you check and see if my account's blocked,2
whats going on with my day off request,101
how is my vacation request looking,101
what prong jump starts the car,17
what are the manufacturers guidance on oil changes,123
who is the best local real estate agent,42
are you able to play beatles songs,106
let me know what do you call me,11
revert to original settings,88
please find me some good thai restaurants in new york city,145
find a hotel in san francisco for march 8 & 9,116
has my vacation time been approved,101
what is the exact time right now in the hawaii time zone,4
find engineering programs to apply to,42
please list my total spending on grocery shopping for the last two months,71
add oranges to my to do shopping list,125
i wanna know where to get my w2,122
book a flight from philadelphia to atlanta on june 5th and returning on june 8th,63
where can i submit my architecture plans,42
how much candy have i consumed this week,42
my card is lost what do i do,12
please order an iphone7 for me,16
please let me know what my current bank balance is,35
check the interest rate on my savings account,7
are you able to lookup my credit rating,69
i need help figuring out a new credit card to get,91
"i could use a laugh, got any jokes",36
i would like you to remind me to do something,53
what kind of gas goes in this car,8
"order new checks, please",127
